County,FIPS,Average Annual Count,State
Stoddard County,29207.0,207.0,Missouri
Cameron County,42023.0,41.0,Pennsylvania
Evangeline Parish,22039.0,200.0,Louisiana
Person County,37145.0,286.0,North Carolina
Henderson County,48213.0,630.0,Texas
Columbia County,42037.0,453.0,Pennsylvania
Smith County,47159.0,130.0,Tennessee
St. Johns County,12109.0,1940.0,Florida
Lee County,21129.0,50.0,Kentucky
Brown County,27015.0,188.0,Minnesota
Des Moines County,19057.0,284.0,Iowa
Monroe County,36055.0,4959.0,New York
Muskingum County,39119.0,571.0,Ohio
Yazoo County,28163.0,149.0,Mississippi
Plymouth County,19149.0,171.0,Iowa
Benton County,47005.0,127.0,Tennessee
Marquette County,55077.0,131.0,Wisconsin
Rhea County,47143.0,227.0,Tennessee
Haywood County,37087.0,519.0,North Carolina
Gladwin County,26051.0,221.0,Michigan
Jackson Parish,22049.0,107.0,Louisiana
Wicomico County,24045.0,626.0,Maryland
Mille Lacs County,27095.0,182.0,Minnesota
West Feliciana Parish,22125.0,102.0,Louisiana
Newton County,13217.0,605.0,Georgia
Bryan County,13029.0,202.0,Georgia
Union Parish,22111.0,156.0,Louisiana
Lee County,19111.0,249.0,Iowa
Genesee County,36037.0,417.0,New York
Burlington County,34005.0,3075.0,New Jersey
Madison County,21151.0,505.0,Kentucky
Richmond County,36085.0,3103.0,New York
De Soto Parish,22031.0,179.0,Louisiana
Haywood County,47075.0,126.0,Tennessee
Stark County,17175.0,43.0,Illinois
Marion County,19125.0,225.0,Iowa
Albany County,36001.0,2013.0,New York
Garrard County,21079.0,119.0,Kentucky
Treasure County,30103.0,6.0,Montana
Greene County,36039.0,377.0,New York
Dunklin County,29069.0,191.0,Missouri
Sibley County,27143.0,100.0,Minnesota
Gregory County,46053.0,31.0,South Dakota
Crow Wing County,27035.0,517.0,Minnesota
Escambia County,12033.0,2041.0,Florida
Clark County,46025.0,29.0,South Dakota
Stillwater County,30095.0,72.0,Montana
Macon County,47111.0,154.0,Tennessee
Iroquois County,17075.0,206.0,Illinois
Scott County,19163.0,1086.0,Iowa
Cayuga County,36011.0,556.0,New York
Cherokee County,48073.0,325.0,Texas
Spalding County,13255.0,438.0,Georgia
Scott County,29201.0,254.0,Missouri
Jasper County,29097.0,718.0,Missouri
Holt County,29087.0,35.0,Missouri
Webster County,54101.0,65.0,West Virginia
Hancock County,47067.0,49.0,Tennessee
Calhoun County,13037.0,35.0,Georgia
Worth County,29227.0,16.0,Missouri
Rutherford County,37161.0,487.0,North Carolina
Sussex County,34037.0,992.0,New Jersey
Campbell County,47013.0,290.0,Tennessee
Brevard County,12009.0,4894.0,Florida
Lenoir County,37107.0,398.0,North Carolina
Houston County,47083.0,60.0,Tennessee
Fayette County,39047.0,187.0,Ohio
Northampton County,51131.0,107.0,Virginia
Nicholas County,21181.0,49.0,Kentucky
Linn County,19113.0,1391.0,Iowa
Mitchell County,19131.0,73.0,Iowa
Greenup County,21089.0,263.0,Kentucky
Guernsey County,39059.0,268.0,Ohio
Goochland County,51075.0,197.0,Virginia
Cabell County,54011.0,627.0,West Virginia
Dewey County,40043.0,30.0,Oklahoma
Perry County,28111.0,79.0,Mississippi
Levy County,12075.0,347.0,Florida
Luzerne County,42079.0,2284.0,Pennsylvania
Meigs County,39105.0,164.0,Ohio
Meade County,21163.0,178.0,Kentucky
Hickman County,47081.0,165.0,Tennessee
Northampton County,42095.0,2158.0,Pennsylvania
Crockett County,48105.0,20.0,Texas
Jessamine County,21113.0,314.0,Kentucky
Gilchrist County,12041.0,126.0,Florida
Antelope County,31003.0,47.0,Nebraska
Lake County,27075.0,96.0,Minnesota
Broadwater County,30007.0,54.0,Montana
Camden County,13039.0,289.0,Georgia
Iowa County,19095.0,116.0,Iowa
Sargent County,38081.0,29.0,North Dakota
Hall County,13139.0,1173.0,Georgia
New Kent County,51127.0,153.0,Virginia
Williamsburg City,51830.0,81.0,Virginia
Alamance County,37001.0,1072.0,North Carolina
Lawrence County,28077.0,80.0,Mississippi
Yellowstone County,30111.0,1030.0,Montana
Monroe County,28095.0,240.0,Mississippi
Jefferson County,13163.0,105.0,Georgia
Bottineau County,38009.0,49.0,North Dakota
Graves County,21083.0,244.0,Kentucky
Racine County,55101.0,1270.0,Wisconsin
Tazewell County,17179.0,902.0,Illinois
Perry County,39127.0,234.0,Ohio
Assumption Parish,22007.0,145.0,Louisiana
Rensselaer County,36083.0,1045.0,New York
Somerset County,24039.0,158.0,Maryland
Waynesboro City,51820.0,146.0,Virginia
Lewis County,21135.0,89.0,Kentucky
Worth County,19195.0,54.0,Iowa
Marion County,54049.0,376.0,West Virginia
Mitchell County,13205.0,143.0,Georgia
Washington County,27163.0,1584.0,Minnesota
Christian County,21047.0,336.0,Kentucky
Pennington County,27113.0,94.0,Minnesota
Monroe County,39111.0,105.0,Ohio
Boyle County,21021.0,205.0,Kentucky
Petroleum County,30069.0,4.0,Montana
Robertson County,21201.0,16.0,Kentucky
Tipton County,47167.0,359.0,Tennessee
Perry County,17145.0,143.0,Illinois
Columbia County,12023.0,476.0,Florida
Mason County,21161.0,115.0,Kentucky
Kanawha County,54039.0,1315.0,West Virginia
Palo Pinto County,48363.0,195.0,Texas
Marion County,48315.0,84.0,Texas
Mountrail County,38061.0,50.0,North Dakota
Warren County,17187.0,115.0,Illinois
Gaston County,37071.0,1415.0,North Carolina
Pickens County,1107.0,135.0,Alabama
Wadena County,27159.0,103.0,Minnesota
Chambers County,48071.0,224.0,Texas
East Carroll Parish,22035.0,43.0,Louisiana
Green Lake County,55047.0,149.0,Wisconsin
Haralson County,13143.0,184.0,Georgia
Fulton County,21075.0,46.0,Kentucky
Wyoming County,42131.0,198.0,Pennsylvania
Daviess County,21059.0,642.0,Kentucky
Marinette County,55075.0,342.0,Wisconsin
Strafford County,33017.0,780.0,New Hampshire
Wilkinson County,13319.0,64.0,Georgia
Yalobusha County,28161.0,91.0,Mississippi
Putnam County,54079.0,385.0,West Virginia
Monroe County,42089.0,1138.0,Pennsylvania
Yellow Medicine County,27173.0,70.0,Minnesota
Clinton County,17027.0,244.0,Illinois
Chisago County,27025.0,347.0,Minnesota
Pine County,27115.0,214.0,Minnesota
Humboldt County,19091.0,71.0,Iowa
Sevier County,47155.0,694.0,Tennessee
Terrebonne Parish,22109.0,638.0,Louisiana
Polk County,27119.0,207.0,Minnesota
Woodford County,17203.0,252.0,Illinois
Pierce County,13229.0,121.0,Georgia
Craven County,37049.0,679.0,North Carolina
Watonwan County,27165.0,77.0,Minnesota
Greene County,42059.0,248.0,Pennsylvania
Franklin County,48159.0,73.0,Texas
Saratoga County,36091.0,1598.0,New York
Ida County,19093.0,52.0,Iowa
Grundy County,19075.0,90.0,Iowa
Calhoun County,28013.0,90.0,Mississippi
Pontotoc County,28115.0,180.0,Mississippi
Bond County,17005.0,111.0,Illinois
Madison County,17119.0,1728.0,Illinois
Clallam County,53009.0,717.0,Washington
Warren County,34041.0,757.0,New Jersey
Walworth County,55127.0,696.0,Wisconsin
Pointe Coupee Parish,22077.0,154.0,Louisiana
Livingston County,36051.0,423.0,New York
Okfuskee County,40107.0,76.0,Oklahoma
Peoria County,17143.0,1150.0,Illinois
Braxton County,54007.0,99.0,West Virginia
Valley County,31175.0,33.0,Nebraska
West Carroll Parish,22123.0,70.0,Louisiana
Madison County,13195.0,194.0,Georgia
Harrison County,39067.0,109.0,Ohio
Surry County,37171.0,521.0,North Carolina
Webster Parish,22119.0,262.0,Louisiana
Letcher County,21133.0,153.0,Kentucky
Worcester County,24047.0,461.0,Maryland
Putnam County,12107.0,569.0,Florida
Hopkins County,21107.0,306.0,Kentucky
Halifax County,37083.0,361.0,North Carolina
Talbot County,13263.0,49.0,Georgia
Onondaga County,36067.0,3050.0,New York
Giles County,51071.0,126.0,Virginia
Highland County,39071.0,286.0,Ohio
Tucker County,54093.0,58.0,West Virginia
Bollinger County,29017.0,79.0,Missouri
Lincoln County,37109.0,580.0,North Carolina
Wayne County,29223.0,91.0,Missouri
Clarke County,1025.0,164.0,Alabama
Lehigh County,42077.0,2318.0,Pennsylvania
Ascension Parish,22005.0,637.0,Louisiana
Pearl River County,28109.0,374.0,Mississippi
Redwood County,27127.0,109.0,Minnesota
Moore County,37125.0,765.0,North Carolina
Lewis County,47101.0,90.0,Tennessee
Cheatham County,47021.0,250.0,Tennessee
Floyd County,19067.0,116.0,Iowa
Creek County,40037.0,472.0,Oklahoma
Brown County,17009.0,37.0,Illinois
Cecil County,24015.0,645.0,Maryland
Lincoln County,29113.0,329.0,Missouri
Marshall County,19127.0,262.0,Iowa
Heard County,13149.0,71.0,Georgia
Edgecombe County,37065.0,350.0,North Carolina
Clark County,5019.0,123.0,Arkansas
Jackson County,54035.0,204.0,West Virginia
Casey County,21045.0,111.0,Kentucky
Tioga County,36107.0,354.0,New York
Duval County,12031.0,5570.0,Florida
La Salle County,17099.0,752.0,Illinois
Larue County,21123.0,95.0,Kentucky
St. Tammany Parish,22103.0,1681.0,Louisiana
Panola County,48365.0,154.0,Texas
Washington County,55131.0,931.0,Wisconsin
Carroll County,47017.0,199.0,Tennessee
Hill County,48217.0,253.0,Texas
Gregg County,48183.0,713.0,Texas
Leflore County,28083.0,159.0,Mississippi
Otter Tail County,27111.0,473.0,Minnesota
Kent County,10001.0,1129.0,Delaware
Parker County,48367.0,866.0,Texas
Clinton County,36019.0,522.0,New York
Fannin County,48147.0,235.0,Texas
Jefferson County,28063.0,48.0,Mississippi
Chester County,47023.0,107.0,Tennessee
Hillsborough County,12057.0,8108.0,Florida
Milwaukee County,55079.0,5064.0,Wisconsin
Ottawa County,39123.0,338.0,Ohio
Brooks County,13027.0,113.0,Georgia
Williamson County,17199.0,452.0,Illinois
Forrest County,28035.0,400.0,Mississippi
Northumberland County,42097.0,685.0,Pennsylvania
Herkimer County,36043.0,438.0,New York
Ohio County,21183.0,156.0,Kentucky
Tangipahoa Parish,22105.0,742.0,Louisiana
Upshur County,54097.0,171.0,West Virginia
Knox County,48275.0,22.0,Texas
Caldwell County,37027.0,581.0,North Carolina
Banks County,13011.0,118.0,Georgia
Vinton County,39163.0,87.0,Ohio
Simpson County,28127.0,170.0,Mississippi
Chenango County,36017.0,343.0,New York
Brown County,39015.0,290.0,Ohio
Licking County,39089.0,1105.0,Ohio
Cumberland County,17035.0,71.0,Illinois
Sullivan County,33019.0,330.0,New Hampshire
Montgomery County,28097.0,73.0,Mississippi
Dickens County,48125.0,13.0,Texas
Calhoun County,19025.0,74.0,Iowa
Dougherty County,13095.0,520.0,Georgia
Cass County,31025.0,173.0,Nebraska
Lafayette County,55065.0,110.0,Wisconsin
Echols County,13101.0,19.0,Georgia
Colonial Heights City,51570.0,121.0,Virginia
Washington County,42125.0,1514.0,Pennsylvania
Muscatine County,19139.0,268.0,Iowa
Robeson County,37155.0,690.0,North Carolina
Otsego County,36077.0,408.0,New York
Osage County,29151.0,86.0,Missouri
Salem County,34033.0,438.0,New Jersey
Kankakee County,17091.0,671.0,Illinois
Lewis County,36049.0,181.0,New York
Benson County,38005.0,31.0,North Dakota
Avoyelles Parish,22009.0,252.0,Louisiana
Preble County,39135.0,282.0,Ohio
Lewis County,29111.0,64.0,Missouri
Boone County,21015.0,742.0,Kentucky
Union County,28145.0,166.0,Mississippi
Douglas County,46043.0,22.0,South Dakota
Columbia County,36021.0,501.0,New York
Waushara County,55137.0,202.0,Wisconsin
Davidson County,37057.0,1128.0,North Carolina
Kenosha County,55059.0,977.0,Wisconsin
Kalkaska County,26079.0,127.0,Michigan
Pamlico County,37137.0,113.0,North Carolina
